"","outcome","predictor","beta","conf_low....conf_low_predictor","conf_high....conf_high_predictor","p_value....p_value_predictor","p.correct","sig_label"
"97","DTI-AD","PGRS: Major Depressive Disorder",0.0101133815320209,-6.40880694059275e-05,0.0202908511334477,0.0514601193595602,0.0842571596028395,""
"98","DTI-AD","PGRS: Obsessive-Compulsive Disorder",0.000912009296386852,-0.00926341376658568,0.0110874323593594,0.860549786131309,0.902674600837037,""
"99","DTI-AD","PGRS: Schizophrenia",0.000656209387786654,-0.00952102222380473,0.010833440999378,0.899432042214128,0.930446940221512,""
"100","DTI-AD","PGRS: Alzheimer's Disease",0.00444518669500427,-0.00572630669935927,0.0146166800893678,0.391680926880268,0.48157491009869,""
"101","CGMV","Weather: 10 metre wind speed",-0.0142283997189612,-0.0200707877648095,-0.00838601167311298,1.81944857000336e-06,6.65651915854888e-06,"*"
"102","CGMV","Weather: Surface net short-wave radiation flux",-0.00925696408509586,-0.0150895247908064,-0.00342440337938531,0.00186741184585704,0.00411929083644936,"*"
"103","CGMV","Weather: 2 metre temperature",-0.0105772105250461,-0.0164118219568616,-0.00474259909323052,0.000381089195397346,0.000968870835755965,"*"
"104","CGMV","Weather: 10 metre U wind component",-0.0253094203878478,-0.03114148185653,-0.0194773589191657,1.88087796099887e-17,1.41065847074915e-16,"*"
"105","CGMV","Weather: 10 metre V wind component",-0.0196893771044164,-0.0255166628407298,-0.0138620913681031,3.58669128185445e-11,1.73549578154248e-10,"*"
"106","CGMV","Weather: Surface pressure",0.0166497758624407,0.0107991795018869,0.0225003722229946,2.45438072565621e-08,9.68834496969558e-08,"*"
"107","CGMV","Weather: Time-mean surface latent heat flux",0.010494174981713,0.00467296726505678,0.0163153826983693,0.000410757528505999,0.001026893821265,"*"
"108","CGMV","Weather: Time-mean surface net short-wave radiation flux",0.0136790258460713,0.0078570243584137,0.0195010273337289,4.137304788845e-06,1.34912112679728e-05,"*"
"109","CGMV","Weather: Time-mean surface downward long-wave radiation flux",-0.00887861566214745,-0.0147097696610639,-0.00304746166323099,0.00284365567763462,0.00592428266173879,"*"
"110","CGMV","Weather: Time-mean large-scale precipitation rate",-0.0272487436975109,-0.0330861752857852,-0.0214113121092367,6.072107756002e-20,5.35774213764883e-19,"*"
"111","CGMV","Weather: Surface downward UV radiation",0.0134019388268782,0.00757982271277274,0.0192240549409837,6.45112255606527e-06,1.97483343553019e-05,"*"
"112","CGMV","Weather: Time-mean surface direct short-wave radiation flux",0.0138168437466783,0.00799443088940958,0.019639256603947,3.31279488435885e-06,1.10426496145295e-05,"*"
"113","CGMV","Weather: Time-mean surface downward UV radiation flux",0.0134019983346988,0.00757988226055175,0.0192241144088459,6.45051259712841e-06,1.97483343553019e-05,"*"
"114","CGMV","Weather: Time-mean surface net long-wave radiation flux",0.00183925511225672,-0.00397476696634346,0.00765327719085691,0.535225900821257,0.62721785252491,""
"115","CGMV","Weather: Total precipitation",-0.0285769984530835,-0.0344266267036168,-0.0227273702025501,1.08878570954419e-21,1.25629120332021e-20,"*"
"116","CGMV","Self-Reports: Recent Depressive Symptoms",-0.0145957401437724,-0.0207069197120603,-0.00848456057548447,2.86344414497567e-06,9.76174140332615e-06,"*"
"117","CGMV","Self-Reports: Neuroticism",-0.0109308056156057,-0.0175260520103047,-0.00433555922090675,0.00116145510536141,0.0026802810123725,"*"
"118","CGMV","PGRS: Anxiety Disorder",-0.0027920928523705,-0.00861354966717939,0.00302936396243838,0.347185501402911,0.433981876753638,""
"119","CGMV","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.00966851328805197,-0.0154892141476965,-0.00384781242840742,0.0011322005920945,0.00265359513772148,"*"
"120","CGMV","PGRS: Autism Spectrum Disorder",0.00224483507071423,-0.00356838476282486,0.00805805490425332,0.449121429487063,0.542589653125994,""
"121","CGMV","PGRS: Bipolar Disorder",0.00474791718228893,-0.0010691157867056,0.0105649501512835,0.109652323965078,0.166139884795573,""
"122","CGMV","PGRS: Major Depressive Disorder",-0.00520917474371332,-0.0110259756677536,0.000607626180326996,0.0792189558868413,0.125082561926592,""
"123","CGMV","PGRS: Obsessive-Compulsive Disorder",-0.0050940638521066,-0.0109093513105212,0.000721223606307954,0.085997843276559,0.134371630119623,""
"124","CGMV","PGRS: Schizophrenia",-0.00296241451386051,-0.00877891901916096,0.00285408999143995,0.318155256862955,0.404434648554603,""
"125","CGMV","PGRS: Alzheimer's Disease",-0.00221545399998053,-0.00802878848628927,0.00359788048632821,0.455087930005445,0.542589653125994,""
"126","CWMV","Weather: 10 metre wind speed",0.00235287031388635,-0.00351575222454462,0.00822149285231732,0.431974824581164,0.526798566562395,""
"127","CWMV","Weather: Surface net short-wave radiation flux",-0.00160256645180994,-0.00746009883147188,0.00425496592785199,0.591790299171245,0.682834960582206,""
"128","CWMV","Weather: 2 metre temperature",-0.000842865477273481,-0.0067027585331273,0.00501702757858034,0.778002819217654,0.839571387644951,""
"129","CWMV","Weather: 10 metre U wind component",-0.00688937208502838,-0.0127518984285209,-0.00102684574153584,0.0212657746102903,0.0370914673435296,"*"
"130","CWMV","Weather: 10 metre V wind component",0.00548079576245791,-0.000374401957067096,0.0113359934819829,0.0665584410248215,0.106210278231098,""
"131","CWMV","Weather: Surface pressure",-0.00482147079738052,-0.0106989466682506,0.00105600507348951,0.107871529713154,0.165623710314287,""
