"","outcome","predictor","std_beta","conf_low","conf_high","p_value","p.correct","sig_label"
"111","CGMV","Weather: Surface downward UV radiation",0.0295210431303553,0.0272682932371692,0.0317737930235413,4.88677521727556e-144,7.37871946653748e-143,"*"
"112","CGMV","Weather: Time-mean surface direct short-wave radiation flux",0.0292555462702639,0.0269808304282018,0.0315302621123259,7.28676429953798e-139,8.50122501612764e-138,"*"
"113","CGMV","Weather: Time-mean surface downward UV radiation flux",0.0295209689498708,0.0272682195232123,0.0317737183765293,4.89407909837055e-144,7.37871946653748e-143,"*"
"114","CGMV","Weather: Time-mean surface net long-wave radiation flux",0.00473256451062557,0.00259276794834606,0.00687236107290509,1.46315900667923e-05,2.78318289313983e-05,"*"
"115","CGMV","Weather: Total precipitation",-0.050570050514454,-0.0530044560505264,-0.0481356449783816,0,0,"*"
"116","CGMV","Self-Reports: Recent Depressive Symptoms",0.00651033902565965,0.00295797403296916,0.0100627040183501,0.00032867855684832,0.000611901568600595,"*"
"117","CGMV","Self-Reports: Neuroticism",0.0190904453719655,0.0129909397817517,0.0251899509621794,8.66421535946038e-10,1.96913985442281e-09,"*"
"118","CGMV","PGRS: Anxiety Disorder",0.00145404621023506,-0.0230707171367718,0.025978809557242,0.907502562677933,0.950975739333163,""
"119","CGMV","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.00574218253046612,-0.03022206811225,0.0187377030513178,0.645750736760077,0.738603783875905,""
"120","CGMV","PGRS: Autism Spectrum Disorder",0.00547506926793554,-0.0190199775185212,0.0299701160543922,0.661371682599871,0.751558730227126,""
"121","CGMV","PGRS: Bipolar Disorder",0.019115563413553,-0.00534618063682664,0.0435773074639326,0.125778792058376,0.201938427616659,""
"122","CGMV","PGRS: Major Depressive Disorder",0.0157919989548337,-0.00866257301658766,0.0402465709262552,0.205775306822684,0.305175243169235,""
"123","CGMV","PGRS: Obsessive-Compulsive Disorder",1.45862235086303e-07,-0.0244931710427432,0.0244934627672134,0.999990688308401,0.999990688308401,""
"124","CGMV","PGRS: Schizophrenia",0.0219404337681267,-0.00252724468028956,0.046408112216543,0.0789835948764724,0.134195428188181,""
"125","CGMV","PGRS: Alzheimer's Disease",0.0124747730243005,-0.0119975892792783,0.0369471353278794,0.317872858559561,0.454747616374662,""
"126","WMV","Weather: 10 metre wind speed",0.0121441871824861,0.0106341697789529,0.0136542045860194,9.0716959872097e-56,5.12111870245709e-55,"*"
"127","WMV","Weather: Surface net short-wave radiation flux",0.000315130075743782,-0.000954527760742971,0.00158478791223054,0.626641124883616,0.731081312364218,""
"128","WMV","Weather: 2 metre temperature",0.000104882020719628,-0.00116464765645994,0.0013744116978992,0.871368176578762,0.924178369098687,""
"129","WMV","Weather: 10 metre U wind component",0.00608498756072579,0.00456618207414393,0.00760379304730766,4.20618474999424e-15,1.02233657117916e-14,"*"
"130","WMV","Weather: 10 metre V wind component",0.0112585809037961,0.00997545313879968,0.0125417086687925,5.50022712031481e-66,3.43764195019676e-65,"*"
"131","WMV","Weather: Surface pressure",-0.0130170769520672,-0.0144711182121478,-0.0115630356919867,1.32827824185784e-68,8.94033432019697e-68,"*"
"132","WMV","Weather: Time-mean surface latent heat flux",-0.00764568004628183,-0.00907934975250316,-0.0062120103400605,1.57057579419161e-25,4.99728661788238e-25,"*"
"133","WMV","Weather: Time-mean surface net short-wave radiation flux",-0.0134765878643408,-0.0148975279221008,-0.0120556478065808,1.00074429857368e-76,7.61435879349536e-76,"*"
"134","WMV","Weather: Time-mean surface downward long-wave radiation flux",4.54898798568528e-05,-0.00122425725173465,0.00131523701144836,0.9440209486543,0.977536485292914,""
"135","WMV","Weather: Time-mean large-scale precipitation rate",0.0204381082563854,0.0189878702104862,0.0218883463022846,5.30336249828953e-166,1.32584062457238e-164,"*"
"136","WMV","Weather: Surface downward UV radiation",-0.0130997116419921,-0.01451324792962,-0.0116861753543642,2.33529253244643e-73,1.63593960905714e-72,"*"
"137","WMV","Weather: Time-mean surface direct short-wave radiation flux",-0.0126621459807725,-0.0140895835769715,-0.0112347083845736,2.14763127536618e-67,1.39198323403363e-66,"*"
"138","WMV","Weather: Time-mean surface downward UV radiation flux",-0.0130996784187402,-0.0145132143798654,-0.011686142457615,2.33705658436735e-73,1.63593960905714e-72,"*"
"139","WMV","Weather: Time-mean surface net long-wave radiation flux",-0.00102557161203454,-0.00236112889236679,0.000309985668297702,0.1323205213089,0.209355584029966,""
"140","WMV","Weather: Total precipitation",0.0222954570119171,0.0207551185509873,0.0238357954728469,6.89889830536462e-175,2.01217867239801e-173,"*"
"141","WMV","Self-Reports: Recent Depressive Symptoms",-0.00576605810350115,-0.00799610363545297,-0.00353601257154934,4.04934854256674e-07,8.64190237742903e-07,"*"
"142","WMV","Self-Reports: Neuroticism",-0.00445958449207142,-0.00830845296004959,-0.000610716024093251,0.0231572246827332,0.0413521869334521,"*"
"143","WMV","PGRS: Anxiety Disorder",-0.00563758225118398,-0.0314452656698135,0.0201701011674455,0.668589311382481,0.754858899947962,""
"144","WMV","PGRS: Attention-Deficit/Hyperactivity Disorder",-0.0070600199753337,-0.0328225662512683,0.0187025263006009,0.591247649157021,0.708687250701909,""
"145","WMV","PGRS: Autism Spectrum Disorder",-0.00519028033487235,-0.0309692176989128,0.0205886570291681,0.693167487496317,0.772638919183793,""
